Timestamp,Participant ID,"Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I can adapt my teaching better based on what students currently understand or do not understand.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [The conditions of my life are excellent.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, my knowledge about the subject matter increased.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Please check ""4 (somewhat agree)"" for this question.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [In most ways my life is close to my ideal.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I have more ways of how I can assess student learning.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [The system raised the quality of my lesson plan.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [If available, I would use the system more often for lesson planning.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I feel that I have more ways and strategies to developing my understanding on the subject matter.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I feel more familiar with students’ common understandings and misconceptions.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I think I am already quite proficient in teaching a competence-based curriculum.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I am satisfied with my life.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, a can use a wider range of teaching approaches in a classroom setting.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I have quite some experiences in learning-centered approach of teaching.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [If I could live my life over, I would change almost nothing.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I can adapt my teaching style better to different learners.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [The system raised the quality of my in-class teaching.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I know better how to assess student’s performance in a classroom.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Overall, I found the system a helpful tool for lesson planning.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I know better how to organize and maintain classroom management.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [After using the system, I feel more prepared to apply the subject matter.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Please check ""1 (strongly disagree)"" for this question.]",Anything you want to tell us?
2025/04/13 11:33:59 AM GMT+3,12-9996,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,5,1,
2025/11/24 11:16:16 AM GMT+3,003,4,3,3,4,3,4,3,3,4,4,5,4,5,4,2,4,3,3,5,3,5,1,I think to it is a good innovation which can help teachers
2025/11/24 11:35:38 AM GMT+3,002,5,5,5,4,4,4,5,5,5,4,4,4,5,5,1,5,5,4,5,5,5,1,The system is quite good and time saving and student involving that if given time a lot can be improved. Please keep going.
2025/11/24 11:51:02 AM GMT+3,004,2,2,1,4,2,1,1,1,1,2,4,2,1,1,2,1,1,2,1,2,1,1,"This system is relevant and applicable, and every teacher should have it. After this system, I would also like a scheme of work or record of work."
2025/11/24 12:00:29 PM GMT+3,003,4,3,3,4,3,4,3,3,4,4,4,4,5,4,2,4,3,3,5,3,5,1,I think to it is a good innovation which can help teachers. It should be integrated Scheming and download a pdf
2025/11/24 12:24:21 PM GMT+3,007,2,3,1,4,3,2,3,5,2,3,4,3,3,3,3,3,3,2,3,3,3,1,It would be better if the learning out comes and the topics could simply be selected by clicking once they are displayed so that we do not have to type them. If an app could be developed so that we do not have to use a website.
2025/11/24 12:32:21 PM GMT+3,005,5,4,4,4,5,4,3,5,4,3,4,4,5,4,4,5,3,4,4,3,4,1,The system is very good. How I wish the system is improved in the way that even the topics and learners' outcomes can also be selected for simplicity and time management.
2025/11/24 12:43:15 PM GMT+3,08-8561,4,4,5,4,4,4,4,3,5,5,4,2,5,4,1,5,4,4,5,5,5,1,It saves time to both learners and teachers. Continuous follow-up for the best of the new program.
2025/11/24 12:55:14 PM GMT+3,2740,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4,5,4,4,4,5,4,1,"It is good. 

It should be used to generate lesson plans in other classes also say S.2, S.3 and S.4 class.
If possible, it should also be applied in A' level.
It's generally good tool to use in teaching and learning process."
2025/11/24 1:09:04 PM GMT+3,2830,5,3,3,4,5,4,5,5,5,4,4,3,4,3,4,4,5,5,5,5,5,1,Great innovation
2025/11/24 1:23:45 PM GMT+3,2824,3,3,4,4,4,3,3,5,3,2,4,3,4,3,3,5,3,3,5,3,5,1,"Great innovation especially at the time when the teacher is required to do much.
Mind some language errors. it's ""too"" not ""to"" difficult.
How does one download the clear generated copy for printing or otherwise add a print button.
Any hopes of accessing it offline?"
2025/11/24 1:44:10 PM GMT+3,2835,5,4,5,4,3,3,4,5,5,3,4,3,5,4,3,3,4,4,5,3,5,1,"Great job!!
The App will be helpful if all subjects are included. It is not hard to use though and it is great innovation that will ease the work of the teachers as it is difficult for teachers to draft lesson plans. Thank you for the work well done."
2025/11/24 1:53:49 PM GMT+3,2822,5,4,5,4,4,5,5,5,5,5,4,4,5,4,1,5,5,4,5,5,5,1,"It is a very helpful tool as it saves time while making a lesson plan.
More of these lessons are welcome to make our teaching job simple and enjoyable.
Need to give some lessons to the students to appreciate the use of technology."
2025/11/25 12:46:19 PM GMT+3,2821,5,4,5,4,4,5,4,5,5,5,4,4,5,4,1,5,4,4,5,5,5,1,"It has made life simpler while making a lesson plan especially when it comes to teachers with various classes.
It is helpful however it should be free i.e. data free because most people especially in remote areas will find it useful but may fail to access it."
2025/11/25 12:51:11 PM GMT+3,2833,5,5,5,4,4,5,4,5,4,4,4,4,5,5,4,4,5,4,5,5,5,1,"The system is good because it will help to improve the teaching and learning process.
You can also improve the system by availing it offline and open access."
2025/11/25 1:03:25 PM GMT+3,2823,5,4,3,4,4,5,3,5,4,3,4,2,4,5,3,4,3,4,5,5,4,1,"It makes lesson planning easier, but it's limited in Nutrition and food technology.
It should include a platform for lesson evaluation in terms of weakness and strength."
2025/11/25 1:10:24 PM GMT+3,2818,4,4,3,4,4,3,4,3,3,3,4,5,4,5,4,4,4,3,5,4,4,1,Adding / putting a saving button.
2025/11/25 1:19:48 PM GMT+3,04-6179,5,5,5,4,4,5,4,5,5,5,4,5,5,4,2,5,4,5,5,5,5,1,"The system is user friendly, time saving and somehow effective.
There is need to engage the top administrators for a successful survey NDU lesson plan generator especially those in the academics' office. They should be the first to adopt it because they are also teachers.
There is need of close supervision on the implementation of NDU lesson plan generator in all institutions (schools) where this survey is undertaken for regular feedback to a certain the progress of the survey."
2025/11/25 1:28:35 PM GMT+3,04-5637,5,4,4,4,4,5,4,5,5,4,4,3,5,5,4,4,4,4,5,5,5,1,"The system is good, applaud to those that came up with this.
Some content is missing, please make sure that you put in your system all the content of all subjects."
2025/11/26 10:10:09 AM GMT+3,01-5269,4,3,4,4,3,3,3,5,4,3,4,3,4,3,2,4,3,3,4,4,3,1,Expand the program to cover many subjects and chapters.
2025/11/26 10:16:10 AM GMT+3,01-3106,3,4,4,4,3,3,4,2,2,2,4,2,3,1,3,4,4,4,2,3,4,1,"We need facilities to enable us do work efficiently.
Keep this project running. It will assist many teachers to get on board in computer use."
2025/11/26 10:22:41 AM GMT+3,01-5280,5,5,4,4,4,5,5,5,4,4,4,4,5,4,4,5,5,4,4,4,4,1,"Enable the app to be accessed on smart phones from play store.
Work on lesson plan generators for all classes and levels."
2025/11/26 10:28:06 AM GMT+3,2814,5,2,1,4,5,5,3,5,5,4,4,2,4,4,1,5,3,4,5,3,5,1,This is a good initiative that can ease the teachers' work but at the same time it will encourage a lot of laziness among the teachers.
2025/11/26 10:32:22 AM GMT+3,2832,4,4,4,4,4,4,4,5,4,3,4,3,4,3,4,3,4,4,4,4,4,1,The system is helpful.
2025/11/26 10:36:35 AM GMT+3,2836,3,5,5,4,4,5,4,5,5,5,4,5,5,5,4,5,4,5,4,5,5,1,Make it available on a number of platforms instead of using a link only.
2025/11/26 10:53:18 AM GMT+3,2743,4,3,4,4,4,4,5,5,4,4,4,3,4,4,3,4,5,4,5,4,5,1,"It is a quick system that can be easily adopted and it is intriguing.
Please provide one with a scheme of work and also a provision of downloading that lesson plan."
2025/11/26 11:09:46 AM GMT+3,2742,5,4,4,4,5,4,4,5,5,4,4,4,4,4,1,4,4,4,5,4,5,1,"This tool will be helpful in implementing CBC.
Under the chapter Introduction to Geography, the first activity cannot be asking learners to tell you what they understand by Geography, at least it should be touring the school environment to note down what they can see and this will act as a basis for them to understand what Geography means."
2025/11/26 11:30:22 AM GMT+3,2741,4,5,5,4,4,4,4,5,5,3,4,3,4,5,2,4,4,3,4,4,4,1,"The system is good enough.
In future there i need to develop schemes of work as well."
2025/11/26 11:44:57 AM GMT+3,2747,5,1,3,4,3,3,4,2,2,3,4,1,3,4,1,2,4,3,4,2,3,1,"We would be grateful for scheme of work.
The questions for testing the attention of the person filling are quite many.
The format of the lesson plans should be tabular.
Thank you for coming."
2025/11/26 11:59:47 AM GMT+3,01-5964,5,4,4,4,5,4,4,5,4,4,4,4,4,5,4,4,4,4,4,5,5,1,"I would highly recommend this lesson plan generator for schools to adopt.
I would like to appreciate the efforts involved in this new technology developed in the education sector.
I would rather also suggest that more topics to be added to the system to and all teachers across the ordinary level."
2025/11/26 1:37:53 PM GMT+3,04-7821,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,5,5,5,5,5,1,"I can now be able to assess the student's performance in class.
We need more workshop."
2025/11/26 1:42:35 PM GMT+3,04-4918,5,4,5,4,3,4,4,5,5,5,4,5,5,5,4,5,4,5,5,4,5,1,"The system is of great value to teachers if effectively used.
Please let us try and implement the system in classroom teaching and lesson plan process because it is of value."
2025/11/26 1:49:13 PM GMT+3,04-2985,5,4,5,4,4,5,5,5,4,5,4,3,5,4,2,5,5,4,5,4,3,1,"The system has made work simple; we are waiting to use it.
The objectives and learning outcomes generated are not very accurate; find a way of improving that.
Can you include an option for printing from within the system such that there is no need for downloading what it has generated."
2025/11/26 1:58:03 PM GMT+3,04-4016,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,"It was a fairly good system with good and promising results but i feel it can get better than it is.
I wish more subjects, and more class coverages are added into the system.
Secondly, I wish the response times should be quickened up a bit.
Otherwise, when well streamlined it's going to be a very resourceful and handy ICT tool for both teachers and learners."
2025/11/26 2:06:51 PM GMT+3,08-7783,2,3,1,4,5,1,5,3,2,2,4,1,3,3,2,3,5,2,5,4,5,1,"It will be a good idea to enable teachers complete their work in time.
The system did not have the provision of Automatic generation of lesson or subject outcome.
Also, it didn't cover all subjects including mine (CRE). So, I would recommend you improve on that such that we are all helped by the technology."
2025/11/26 2:17:01 PM GMT+3,04-6190,4,4,4,4,5,3,3,5,4,3,4,4,5,5,3,5,3,4,5,4,5,1,"Generally, the system is fine, it has somehow made lesson planning easy and reduced on the time we spend while planning for the lesson.
I wish you could invent a system that parks papers."
2025/11/26 2:28:23 PM GMT+3,14-0275,5,5,4,4,5,3,4,5,4,5,4,5,4,5,4,5,4,4,5,5,4,1,"I like the flexibility of the generator.
Need to include other classes / levels so as to have uniformity to the generator."
2025/11/26 2:34:49 PM GMT+3,03-4226,5,5,5,4,4,4,4,5,5,4,4,4,5,5,4,5,4,5,5,5,5,1,"I wish even next time you introduce more systems to us.
Thanks very much for introducing the system to us indeed it has simplified work for some of us."
2025/11/26 2:37:54 PM GMT+3,03-3609,5,4,5,4,4,5,5,5,5,5,4,3,5,5,1,5,5,5,5,5,5,1,
2025/11/26 2:44:09 PM GMT+3,2746,5,5,5,4,4,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,1,"I am really thankful to the team for the innovation, creativity on generation of lesson plan for 2 minutes.
I request the team to also work on the link for generation of scheme of work.
I request the team to work on content for S.2 up to S.6 because teachers cut across levels."
2025/11/26 2:50:14 PM GMT+3,2744,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,"The system is quick and prompt.
Add more reference books.
Add more support materials and photos if possible, acting as teaching aids / materials."
2025/11/26 2:56:20 PM GMT+3,2750,5,3,5,4,3,5,5,5,5,5,4,1,5,5,1,5,5,5,5,5,5,1,"Thanks for the teaching, have really appreciated and learnt more.
I request you also to develop a system for scheme of work.
You also engage us to the project. NOTE (if am interested can I join)
Come back next time, I wish to learn more with you. Thanks."
2025/11/26 3:00:58 PM GMT+3,2745,5,3,5,4,3,4,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,1,"It is an awesome innovation.
I am satisfied with the creativity and how the program works."
2025/11/27 10:04:48 AM GMT+3,13-5926,4,4,4,4,4,4,5,5,4,3,4,5,3,4,4,4,5,4,5,3,4,1,It is an excellent system. Thanks for the initiative
2025/11/27 10:59:41 AM GMT+3,13-5482,5,4,5,4,5,5,4,5,5,5,4,4,5,4,4,5,5,2,5,5,5,1,The lesson plan is however too long which may make it hard to adapt
2025/11/27 11:07:19 AM GMT+3,13-5091,4,4,5,4,3,3,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,1,I wouldwish to encoporate ICT in the teaching and learning process
2025/11/27 11:12:22 AM GMT+3,13-4279,4,4,5,4,3,4,5,5,4,5,4,5,3,4,4,5,5,4,5,4,5,1,I have realised the used of the new system
2025/11/27 11:20:48 AM GMT+3,13-3812,3,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,4,4,3,4,1,It is a good plan and simplifies teaching
2025/11/27 11:26:12 AM GMT+3,13-3356,4,4,4,4,4,5,4,5,4,5,4,4,5,4,4,5,4,5,5,5,5,1,"Loss of user passwords hinders us from accessing the programme. Buying of data is costly, schools should provide free internet"
2025/11/27 11:30:38 AM GMT+3,13-2987,5,4,5,4,4,5,4,4,4,5,4,4,5,4,5,4,5,5,5,5,5,1,This is a better waytosave teachers time for leson preparation. It would have been better if the scheme of work was tempered first.
2025/11/27 11:36:52 AM GMT+3,13-2540,4,1,4,4,3,3,4,4,5,3,4,2,3,3,1,3,4,3,5,4,4,1,The system tackled the most challenging part in my teaching. We need more courses pertaining ICT.
2025/11/27 11:40:51 AM GMT+3,13-2198,5,4,4,4,5,5,4,5,4,4,4,4,5,3,4,5,4,4,5,4,4,1,
2025/11/27 11:44:39 AM GMT+3,13-1734,4,3,4,4,4,5,4,5,4,3,4,2,3,3,3,4,4,4,5,3,4,1,The system is better. Try to make it more accessible even when offline.
2025/11/27 11:49:51 AM GMT+3,13-1205,5,3,4,4,4,4,4,5,4,4,4,4,5,4,3,4,5,5,5,5,4,1,"The system is of a great importance to the teachers.
if possible you make the system work for all the classes and aline it with the NCDC lesson plan template. "
2025/11/27 11:53:09 AM GMT+3,13-0829,5,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,1,
2025/11/27 11:56:35 AM GMT+3,13-0381,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,4,3,5,4,4,1,
2025/11/27 12:02:41 PM GMT+3,13-0042,4,4,5,4,4,5,4,5,4,3,4,5,5,3,4,4,4,4,3,4,4,1,"The system should be adopted by every Teacher.
continue encouraging schools to buy ICT devices."
2025/11/27 12:08:16 PM GMT+3,12-6129,5,5,4,4,4,5,4,5,5,5,4,5,5,4,4,4,5,5,4,5,5,1,It's a good innovation
2025/11/27 12:11:56 PM GMT+3,12-5784,5,5,4,4,5,3,4,5,4,3,4,4,4,4,1,5,5,4,5,4,5,1,"thank You.
The digital tools are amazing. There's need to improve on the designing of the schemes of work as well."
2025/11/27 12:16:03 PM GMT+3,12-5208,4,4,5,4,5,5,4,5,5,5,4,5,5,5,1,5,5,5,5,4,5,1,
2025/11/27 12:20:50 PM GMT+3,12-4892,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,5,5,4,1,
2025/11/27 12:22:55 PM GMT+3,12-4416,5,5,4,4,5,4,4,4,4,4,4,5,4,3,4,4,5,5,4,5,4,1,
2025/11/27 12:28:25 PM GMT+3,12-3371,3,4,4,4,4,4,4,5,3,3,4,4,4,5,3,5,5,4,5,4,4,1,"I look forward to the completion of the system.
Thank you for your innovation. it will help teachers alot."
2025/11/27 12:31:17 PM GMT+3,12-0648,4,4,4,4,5,5,4,5,5,4,4,4,4,5,4,5,5,5,5,4,5,1,"The programme should be rolled out for use in schools, because it helps alot in developing a lesson for effective teaching."
2025/11/27 12:34:29 PM GMT+3,12-0182,1,2,1,4,2,2,4,1,1,2,4,2,2,1,1,2,2,2,2,1,2,1,
2025/11/27 12:37:01 PM GMT+3,12-1193,5,5,5,4,4,5,4,5,4,5,4,5,4,4,5,5,5,5,5,4,5,1,Make it accessible.
2025/11/27 12:39:41 PM GMT+3,03-6180,4,4,4,4,4,3,4,5,4,4,4,4,5,4,4,4,4,5,4,4,5,1,"The program will help the teachers provded it's improved.
Include other classes and if possible scheme of work generators."
2025/11/27 12:44:25 PM GMT+3,12-2039,4,4,4,4,4,5,4,5,3,4,4,4,5,4,2,5,4,4,5,4,4,1,
2025/11/27 12:47:12 PM GMT+3,12-2845,5,5,4,4,5,5,4,5,5,4,4,4,5,4,1,5,4,5,5,4,5,1,i appreciate the effortsyour putting to help the teachers work easier and friendly
